City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,qaanaaq,77.484,-69.3632,-24.2,65,89,5.26,GL,1675809060
84,ornskoldsvik,63.2909,18.7153,32.95,86,100,8.05,SE,1675809061
85,longkou,37.6508,120.3286,32.92,71,1,11.01,CN,1675809063
86,provideniya,64.3833,-173.3,-2.09,71,100,11.18,RU,1675809068
87,hithadhoo,-0.6,73.0833,81.01,70,68,8.55,MV,1675809072
88,saint-augustin,51.226,-58.6502,-3.41,86,1,4.09,CA,1675809077
89,opuwo,-18.0607,13.84,66.94,53,98,6.58,NA,1675809080
90,nikolayevka,53.1257,47.2041,-3.59,100,76,4.43,RU,1675809090
91,fort nelson,58.8053,-122.7002,36.95,44,20,3.44,CA,1675809070
92,kodiak,57.79,-152.4072,29.71,55,0,17.27,US,1675809096
93,el tigre,8.8875,-64.2454,83.03,50,87,12.5,VE,1675809097
94,innisfail,-17.5333,146.0333,80.55,89,88,12.57,AU,1675809098
95,yeppoon,-23.1333,150.7333,78.58,70,75,18.75,AU,1675809099
96,bengkulu,-3.8004,102.2655,74.41,82,93,5.48,ID,1675809101
97,lata,40.1629,-8.3327,42.08,78,4,3.94,PT,1675809101
98,road town,18.4167,-64.6167,78.89,78,40,8.05,VG,1675809102
99,turtas,58.9417,69.1325,-17.54,100,90,2.66,RU,1675809102
100,mataura,-46.1927,168.8643,49.48,70,75,10.78,NZ,1675809103
101,mar del plata,-38.0023,-57.5575,78.84,87,40,15.01,AR,1675809104
102,bedele,8.456,36.353,58.23,40,5,3.27,ET,1675809105
103,mehamn,71.0357,27.8492,35.55,69,20,24.16,NO,1675809105
104,kavieng,-2.5744,150.7967,81.46,78,100,10.04,PG,1675809106
105,praia da vitoria,38.7333,-27.0667,55.65,71,75,13.31,PT,1675809106
106,paamiut,61.994,-49.6678,-0.63,85,99,11.23,GL,1675809107
107,nome,64.5011,-165.4064,-4.85,91,0,3.44,US,1675809084
108,salalah,17.0151,54.0924,69.89,43,0,3.44,OM,1675809107
109,airai,-8.9266,125.4092,64.08,90,93,1.61,TL,1675809107
110,katsuura,35.1333,140.3,50.29,82,100,18.63,JP,1675808894
111,ulaanbaatar,47.9077,106.8832,-20.07,69,5,2.24,MN,1675809109
112,royan,45.6285,-1.0281,39.83,80,4,10.94,FR,1675809109
113,penzance,50.1186,-5.5371,38.08,75,0,10.11,GB,1675809110
114,port hedland,-20.3167,118.5667,82.45,83,4,0.0,AU,1675809111
115,thompson,55.7435,-97.8558,1.56,85,100,4.61,CA,1675809112
116,ostrovnoy,68.0531,39.5131,32.27,76,65,23.38,RU,1675809112
117,bandipur,27.9333,84.4167,47.23,70,48,1.81,NP,1675809112
118,srednekolymsk,67.45,153.6833,-31.58,99,100,5.48,RU,1675809113
119,lagoa,39.05,-27.9833,55.69,60,72,15.01,PT,1675809113
120,hvide sande,56.0045,8.1294,40.08,88,99,13.53,DK,1675809114
121,anadyr,64.75,177.4833,-25.1,75,0,11.18,RU,1675809114
122,dodoma,-6.1722,35.7395,65.25,90,99,2.19,TZ,1675809115
123,yenagoa,4.9247,6.2642,78.85,84,20,3.04,NG,1675809115
124,ipu,-4.3222,-40.7108,73.26,93,91,4.34,BR,1675809115
125,adrar,20.5022,-10.0711,61.83,21,93,10.94,MR,1675809116
126,klaksvik,62.2266,-6.589,47.32,85,100,54.65,FO,1675809116
127,kozelsk,54.0375,35.7716,8.29,98,62,0.98,RU,1675809117
128,tasiilaq,65.6145,-37.6368,1.56,35,2,35.66,GL,1675809117
129,lebu,-37.6167,-73.65,60.98,83,0,17.36,CL,1675809118
130,victoria,22.2855,114.1577,64.45,92,91,8.99,HK,1675809076
131,flinders,-34.5833,150.8552,72.18,91,100,4.0,AU,1675809119
132,khatanga,71.9667,102.5,-47.2,100,76,2.08,RU,1675809119
133,baruun-urt,46.6806,113.2792,-5.39,90,4,5.91,MN,1675809121
134,mahebourg,-20.4081,57.7,79.09,78,75,10.36,MU,1675809122
135,cidreira,-30.1811,-50.2056,76.21,75,17,12.15,BR,1675809124
136,carutapera,-1.195,-46.02,76.23,91,99,6.85,BR,1675809126
137,boulder,40.0833,-105.3505,43.25,29,0,10.36,US,1675809127
138,mackay,-21.15,149.2,81.68,81,98,19.93,AU,1675809081
139,avarua,-21.2078,-159.775,84.25,79,20,12.66,CK,1675809137
140,bergen,60.392,5.328,42.87,100,75,3.44,NO,1675809137
